Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Priority,CurrentState,CreatedAt,AcceptedAt,Deadline,Requested By,Description,URL,Owned By,Owned By,Comment1,Comment2,Comment3,Comment4,Comment5,Comment6,Comment7,Comment8,Comment9,Comment10,Comment11,Comment12,Comment13,Comment14,Comment15,Comment16,Comment17,Comment18,Comment19,Comment20,Comment21,Comment22,Comment23,Comment24,Comment25,Comment26,Comment27,Comment28,Comment29,Comment30,Comment31,Comment32,Comment33,Comment34,Comment35,Comment36,Comment37,Comment38,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
5319817,Conf logoz backend ,conf logoz backend,,,,epic,,,,25-Nov-24,,,,,https://www.pivotaltracker.com/epic/show/5319817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188610886,Story 1: Larvol users should be able to add images / logos for conference iteration ,conf logoz backend,708,17-Dec-24,23-Dec-24,feature,2,p3 - Low,accepted,25-Nov-24,23-Dec-24,,Sreedhar Reddy,"1.	Mockup - https://xd.adobe.com/view/be43989d-c8ba-4253-b8a8-04772af6fd8f-eb10/grid/
2.	Refer -  https://adminpulse.larvol.com/Entities/ConferenceIterationManager/Detail.aspx?ConferenceIterationId=
3.	Add new option below Acronym field to upload logo as – Conference Logo
4.	This will be available for existing conference iteration and when new conference iteration is created from Conference Iteration Manager page.
5.	User will have ability to click the thumbnail image to add the logo image.
6.	Accepted formats - .SVG, .JPG, .JPEG, .PNG and .GIF. Show message if file formats not supported - Invalid file format. Please upload a file in .SVG, .JPG, .JPEG, .PNG or .GIF format.
7.	Restrict file size to 1MB- Show message if file size exceeds 1MB - The file size exceeds the 1MB limit. Please upload a smaller file.
",https://www.pivotaltracker.com/story/show/188610886,Abhay Kumar,," (Sreedhar Reddy - Nov 25, 2024)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188610893,Story 2: Larvol users can browse and select the image to upload by clicking the thumbnail icon,conf logoz backend,708,17-Dec-24,23-Dec-24,feature,2,p3 - Low,accepted,25-Nov-24,23-Dec-24,,Sreedhar Reddy,"1.	When the user clicks on the camera icon or thumbnail, a browsing pop-up will appear.
2.	The user can select an image from their local drive and upload it as a logo.
3.	User will browse and select an image.
4.	Image will be added and it will show in the thumbnail. User can proceed to change photo by clicking on it again. 
5.	Photo will finally save for the specific conference iteration when user clicks on “Create Conference Iteration” or “Update Conference Iteration” at end of the page.
6.	Refer https://xd.adobe.com/view/be43989d-c8ba-4253-b8a8-04772af6fd8f-eb10/grid
7.	The user can remove the logo if it is already added/saved first time, by using delete icon.
8.	On clicking delete icon, pop-up message will open with Yes & No buttons, to confirm deletion - “Are you sure you want to delete this logo?”
9.	Clicking on “Yes” button will delete the logo, and clicking on “No” button will close the popup. 
10.	After uploading and saving logo, it will be displayed in Conference Iteration Manager page grid in new column with heading as “Conference Logo”. This column is not required to have in the excel export. 
",https://www.pivotaltracker.com/story/show/188610893,Abhay Kumar,," (Sreedhar Reddy - Nov 25, 2024)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188610897,Story 3: Update the Conference iteration API to include the field for the logo,conf logoz backend,708,17-Dec-24,23-Dec-24,feature,1,p3 - Low,accepted,25-Nov-24,23-Dec-24,,Sreedhar Reddy,"1.	Add field – “logo” in API - http://api.larvolinsight.com/api.ashx?tablename=conferenceiterations&id=f3133ca9-5e11-4088-983e-1fb632b0d2a4
2.	Logos will be stored in Delta and link will be sent.
3.	This field to be added at end after “expected_attendees” field.
",https://www.pivotaltracker.com/story/show/188610897,Abhay Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5316884,Company logoz Rev2,company logoz rev2,,,,epic,,,,14-Nov-24,,,,,https://www.pivotaltracker.com/epic/show/5316884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188567483,Story 1: Ability to upload SVG images ,company logoz rev2,706,03-Dec-24,09-Dec-24,feature,2,p3 - Low,accepted,14-Nov-24,10-Dec-24,,Sreedhar Reddy,"1.	Refer to #188325815 
2.	Regarding point 5 in story, add option to allow upload of SVG images 
3.	Accepted formats - .SVG, .JPG, .JPEG, .GIF, and .PNG. Show message if file formats not supported - Invalid file format. Please upload a file in .SVG, .JPG, .JPEG, .GIF, or .PNG format.
4.	Restrict file size to 1MB- Show message if file size exceeds 1MB - The file size exceeds the 1 MB limit. Please upload a smaller file.
Refer screenshot",https://www.pivotaltracker.com/story/show/188567483,Abhay Kumar,," (Sreedhar Reddy - Nov 14, 2024)","https://teams.microsoft.com/l/message/19:ccc83cab10154eb68be5137267568569@thread.v2/1732092896374?context=%7B%22contextType%22%3A%22chat%22%7D (Abhay Kumar - Nov 21, 2024)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188633848,"In institution entity once uploaded logo, if changed, old logo link should be still accessible.",company logoz rev2,706,03-Dec-24,09-Dec-24,feature,1,p3 - Low,accepted,01-Dec-24,10-Dec-24,,nandinibv,,https://www.pivotaltracker.com/story/show/188633848,Abhay Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5308372,Display NameZ,display namez,,,,epic,,,,19-Oct-24,,,,,https://www.pivotaltracker.com/epic/show/5308372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188451585,Story 1: Addition of “Display Name” field in HET Manager,display namez,702,05-Nov-24,11-Nov-24,feature,1,p3 - Low,accepted,19-Oct-24,07-Nov-24,,Sreedhar Reddy,"1.	Refer: http://admin.larvolinsight.com/Entities/HetKOLManager/Detail.aspx
2.	Add field - Display Name
3.	Add field after ""Last Name"" field.
4.	Field should appear when DOL “Role” is ticked.
5.	This field should be mandatory, show asterisk sign (*) in red color before the ""Display Name"" field same as ""First Name"" and ""Last Name"" field.
6.	Free text field and char length should be 150 characters
",https://www.pivotaltracker.com/story/show/188451585,Abhay Kumar,," (Sreedhar Reddy - Oct 19, 2024)","	@sreedharr  
Regarding above story : Since the Display name field will be visible when 'DOL' is checked..
What should be done if a user selects DOL and adds Display Name. 
And now goes and unchecks 'DOL'. Do we keep the display name value in backend or clear it ?
Since that field is no more visible on frontend after uncheck.
But still present in API.
cc @sudhakarreddy  @abhaykumar2  (nandinibv - Oct 23, 2024)","	As confirmation from @sreedharr 
In above stated scenario, we have to clear the display name value. ( When DOL is unchecked )
So API will show blank for display name in such case.
@abhaykumar2  @sheelahs  (nandinibv - Oct 23, 2024)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188451586,Story 2:  Addition of “Display Name” field in KOL API,display namez,702,05-Nov-24,11-Nov-24,feature,2,p3 - Low,accepted,19-Oct-24,07-Nov-24,,Sreedhar Reddy,"1.	Refer: http://api.larvolinsight.com/api.ashx?tablename=kolentities&id=4d245ea9-1aaa-4e8a-8d8d-0008733414df
2.	Add field – display_name
3.	To be added after last_name field in API
4.	Modified date will be updated whenever this field in added by the analyst.
",https://www.pivotaltracker.com/story/show/188451586,Abhay Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
